기준 일자,정류소 명,정류소 번호,정류소아이디,권역,법정동 명,엑스좌표,경도,와이좌표,위도
2024-12-31,검단한신더휴캐널파크1103동,89404.0,168001404,서구,당하동,174077.3133,126.7072817,454159.8867,37.58938222
2024-12-31,검단한신더휴캐널파크1103동,89405.0,168001405,서구,당하동,174102.2404,126.7075641,454156.5178,37.58935257
2024-12-31,검단한신더휴캐널파크정문,89566.0,168001566,서구,당하동,173899.7741,126.7052755,454051.7056,37.58840251
2024-12-31,검단힐스테이트5차아파트,42558.0,168000558,서구,마전동,170726.0644,126.6693162,454709.1074,37.59422985
2024-12-31,검단힐스테이트5차아파트,42557.0,168000557,서구,마전동,170601.9861,126.6679118,454696.4443,37.5941118
2024-12-31,검바위역,42349.0,168000349,서구,검암동,171456.9005,126.6777382,450947.0031,37.56035732
2024-12-31,검바위역,42348.0,168000348,서구,검암동,171424.1825,126.6773679,450948.13,37.56036646
2024-12-31,검암경서동행정복지센터,42353.0,168000353,서구,검암동,171059.9749,126.6732295,451361.2312,37.56407701
2024-12-31,검암경서동행정복지센터,42352.0,168000352,서구,검암동,171077.1688,126.6734258,451319.5201,37.56370174
2024-12-31,검암사거리,42358.0,168000358,서구,검암동,171384.1648,126.6768919,451537.9276,37.56567914
2024-12-31,검암사거리,42357.0,168000357,서구,검암동,171442.6981,126.6775604,451384.1564,37.56429552
2024-12-31,검암사거리,42356.0,168000356,서구,검암동,171471.1074,126.67788,451434.6576,37.56475141
2024-12-31,검암역(시내방면),42364.0,168000364,서구,검암동,171161.364,126.6743584,451836.0249,37.56835796
2024-12-31,검암역(원당방면),42363.0,168000363,서구,검암동,171106.1552,126.6737329,451850.639,37.5684879
2024-12-31,검암역.서해그랑블아파트,42360.0,168000360,서구,검암동,171338.7076,126.6763685,451764.8768,37.56772248
2024-12-31,검암역로열파크씨티푸르지오1단지,89167.0,168001167,서구,백석동,170413.9344,126.6658557,452888.4341,37.57781613
2024-12-31,검암역로열파크씨티푸르지오1단지,89168.0,168001168,서구,백석동,170393.6647,126.6656255,452907.2335,37.57798485
2024-12-31,검암역로열파크씨티푸르지오2단지,89169.0,168001169,서구,백석동,170851.3807,126.6708124,452773.2372,37.57679221
2024-12-31,검암역로열파크씨티푸르지오2단지,89170.0,168001170,서구,백석동,170895.1573,126.671307,452797.1782,37.5770093
2024-12-31,검암역입구,42852.0,168000852,서구,검암동,171340.8609,126.6763896,451849.1969,37.56848225
2024-12-31,검암역입구,42851.0,168000851,서구,검암동,171373.8371,126.6767626,451856.5606,37.56854962
2024-12-31,검암역입구(시천교밑),89250.0,168001250,서구,검암동,171356.2814,126.676562,451903.0884,37.56896828
2024-12-31,검암중학교,42359.0,168000359,서구,검암동,171630.158,126.6796734,451611.6478,37.56635097
2024-12-31,검암중학교,42362.0,168000362,서구,검암동,171745.8984,126.6809836,451606.915,37.56631189
2024-12-31,검암초등학교,42361.0,168000361,서구,검암동,171374.6065,126.6767748,451767.5681,37.56774785
2024-12-31,경남아너스빌,42102.0,168000102,서구,석남동,170706.348,126.6695141,444175.8877,37.49932739
2024-12-31,경남아너스빌,42099.0,168000099,서구,가좌동,170703.1589,126.6694789,444154.3583,37.49913332
2024-12-31,경남아너스빌아파트,42111.0,168000111,서구,석남동,170552.9758,126.6677741,444315.3144,37.50057872
2024-12-31,경남아너스빌아파트,42110.0,168000110,서구,석남동,170570.2215,126.6679701,444292.2096,37.5003711
2024-12-31,경남아파트,42332.0,168000332,서구,공촌동,171978.0821,126.6836729,450006.44,37.5518991
2024-12-31,경남아파트,42334.0,168000334,서구,공촌동,172015.1432,126.684091,450038.9403,37.55219305
2024-12-31,경동택배,89325.0,168001325,서구,대곡동,170875.444,126.6708921,457606.8497,37.62034231
2024-12-31,경동택배,89315.0,168001315,서구,대곡동,170864.7634,126.6707716,457595.8354,37.62024273
2024-12-31,경명초등학교,89278.0,168001278,서구,청라동,168117.2497,126.6400572,448271.522,37.53614225
2024-12-31,경명초등학교,89277.0,168001277,서구,청라동,168214.7556,126.641161,448258.2339,37.5360259
2024-12-31,경명초등학교,89216.0,168001216,서구,청라동,167862.9061,126.6371792,448279.6598,37.53620673
2024-12-31,경서농원,42333.0,168000333,서구,경서동,170210.4721,126.6636419,450688.166,37.55798574
2024-12-31,경서농원,42335.0,168000335,서구,경서동,170346.4152,126.6651793,450716.6964,37.55824719
2024-12-31,경서지구입구,42672.0,168000672,서구,경서동,169446.8146,126.6550158,450293.8815,37.5544083
2024-12-31,경서지구입구,42303.0,168000303,서구,경서동,169579.471,126.6565244,450117.0793,37.55281975
2024-12-31,경서지구입구,42671.0,168000671,서구,경서동,169462.2293,126.655192,450249.7825,37.55401149
2024-12-31,경서초등학교,42570.0,168000570,서구,경서동,169160.6467,126.6517691,450486.4967,37.55613416
2024-12-31,경서초등학교,42569.0,168000569,서구,경서동,169199.7973,126.6522133,450460.4012,37.55590036
2024-12-31,경연초중학교,89272.0,168001272,서구,청라동,166793.551,126.6250678,448558.0109,37.53867666
2024-12-31,경연초중학교,89271.0,168001271,서구,청라동,166760.736,126.6246931,448634.0645,37.53936069
2024-12-31,경연초중학교·청라센텀로제비앙,89286.0,168001286,서구,청라동,166761.3201,126.6247055,448505.0209,37.53819807
2024-12-31,경연초중학교·호반베르디움6차,89285.0,168001285,서구,청라동,166780.7436,126.6249254,448501.9227,37.53817085
2024-12-31,경인계량소,42549.0,168000549,서구,백석동,169801.4421,126.6588986,453454.7165,37.58289825
2024-12-31,경인계량소,42550.0,168000550,서구,백석동,169695.4633,126.6576983,453466.9559,37.58300503
2024-12-31,경인아라뱃길여객터미널,42869.0,168000869,서구,오류동,165185.3077,126.6067693,450707.5118,37.55798361
2024-12-31,경인특장,42547.0,168000547,서구,왕길동,169439.9829,126.6548064,453455.6507,37.58289471
2024-12-31,경인항다목적부두,89152.0,168001152,서구,오류동,165608.3326,126.6115602,450636.9418,37.5573637
2024-12-31,경인항다목적부두,89151.0,168001151,서구,오류동,165533.1849,126.6107091,450648.7041,37.55746686
2024-12-31,골드클래스,42936.0,168000936,서구,청라동,166777.5781,126.6249408,447373.1281,37.52800059
2024-12-31,공단공원앞,42740.0,168000740,서구,경서동,168164.9642,126.6405014,450474.5752,37.55599284
2024-12-31,공단공원앞,42739.0,168000739,서구,경서동,168186.7562,126.6407481,450473.0723,37.55598005
2024-12-31,공단본부,42756.0,168000756,서구,가좌동,171721.1615,126.6810828,441771.8037,37.47769862
2024-12-31,공단본부,42757.0,168000757,서구,가좌동,171748.6368,126.6813933,441774.5558,37.47772426
2024-12-31,공단본부,42270.0,168000270,서구,경서동,168235.3126,126.6413328,449661.1872,37.54866686
2024-12-31,공단사거리,89069.0,168001069,서구,오류동,165969.9093,126.6154691,454575.8413,37.59286532
2024-12-31,공단사거리,42995.0,168000995,서구,오류동,166417.7493,126.6205513,454326.7131,37.59063724
2024-12-31,공단사거리,89070.0,168001070,서구,오류동,165984.4108,126.6156326,454591.3316,37.59300542
2024-12-31,공단사거리,42996.0,168000996,서구,오류동,166410.1717,126.6204667,454300.7254,37.59040282
2024-12-31,공단유통상가,42941.0,168000941,서구,오류동,167341.8795,126.6310266,454057.3874,37.58824401
2024-12-31,공단유통상가,42940.0,168000940,서구,오류동,167401.1917,126.631698,454060.8589,37.58827739
2024-12-31,공단자동차,42022.0,168000022,서구,가좌동,171669.665,126.6804836,442213.538,37.48167701
2024-12-31,공영산업,89148.0,168001148,서구,오류동,166331.9113,126.6197378,450883.8595,37.55961512
2024-12-31,공장단지입구,42555.0,168000555,서구,왕길동,169984.9824,126.6609305,454575.81,37.59300497
2024-12-31,공촌마을,42598.0,168000598,서구,공촌동,171848.6626,126.6822144,449846.155,37.55045102
2024-12-31,공촌마을,42323.0,168000323,서구,연희동,171834.2177,126.6820525,449807.1248,37.55009892
2024-12-31,공촌사거리,42330.0,168000330,서구,연희동,171494.8011,126.6782033,450018.8131,37.55199573
2024-12-31,공촌사거리,42324.0,168000324,서구,연희동,171295.0788,126.6759414,450062.8204,37.55238602
2024-12-31,공촌사거리,42331.0,168000331,서구,연희동,171487.67,126.6781212,450056.0384,37.5523309
2024-12-31,공촌사거리(한국아파트),42322.0,168000322,서구,연희동,171208.4925,126.6749628,450031.2987,37.55209931
2024-12-31,공촌유수지체육공원,89478.0,168001478,서구,청라동,166380.8566,126.6203729,449113.6498,37.54366783
2024-12-31,공촌유수지체육공원,89479.0,168001479,서구,청라동,166451.0875,126.6211639,449193.8728,37.54439318
2024-12-31,공촌정수장,42341.0,168000341,서구,공촌동,172801.7534,126.6929946,449989.6128,37.55177221
2024-12-31,공촌정수장,42340.0,168000340,서구,공촌동,172841.8242,126.6934496,449948.4134,37.5514022
2024-12-31,공촌천,89539.0,168001539,서구,검암동,171187.6369,126.6747065,450548.2307,37.55675609
2024-12-31,관리공단본부,42720.0,168000720,서구,경서동,168224.4744,126.6412108,449645.7419,37.54852733
2024-12-31,국립생물자원관,89111.0,168001111,서구,청라동,167817.8955,126.6365672,450619.3889,37.55728549
2024-12-31,국립생물자원관입구,42741.0,168000741,서구,청라동,167782.9534,126.6361784,450469.3241,37.55593223
2024-12-31,국제금융단지,89293.0,168001293,서구,청라동,167053.3866,126.6280196,448293.1126,37.53629933
2024-12-31,국제금융단지,89292.0,168001292,서구,청라동,166977.0306,126.6271569,448267.7781,37.53606833
2024-12-31,국제성모병원,89031.0,168001031,서구,심곡동,171953.9294,126.6834419,448900.2483,37.54193182
2024-12-31,국제성모병원,89030.0,168001030,서구,심곡동,171978.8638,126.683724,448900.5785,37.54193556
2024-12-31,국제성모병원(종점),89369.0,168001369,서구,심곡동,171967.7243,126.6835985,448886.0139,37.541804
2024-12-31,귀뚜라미보일러,42003.0,168000003,서구,가좌동,172122.8246,126.6856345,441487.861,37.47515255
2024-12-31,귀뚜라미보일러,42004.0,168000004,서구,가좌동,172133.7766,126.6857578,441499.3119,37.47525606
2024-12-31,그린빌라,42602.0,168000602,서구,가정동,171686.8058,126.6805235,446203.0039,37.51762201
2024-12-31,그린빌라,42222.0,168000222,서구,가정동,171677.159,126.6804138,446218.3583,37.51776006
2024-12-31,금강종합상가,42858.0,168000858,서구,왕길동,169655.5696,126.6572154,454221.281,37.58979995
2024-12-31,금강탱크터미널,42758.0,168000758,서구,가좌동,170748.683,126.6700431,442915.843,37.48797593
2024-12-31,금강펜테리움더시글로,89392.0,168001392,서구,원당동,174264.0451,126.709387,454413.5446,37.59167286
2024-12-31,금강펜테리움더시글로,89459.0,168001459,서구,원당동,174253.7365,126.7092692,454444.0673,37.59194757
2024-12-31,금곡교차로,89370.0,168001370,서구,금곡동,167964.9333,126.6379745,456482.2007,37.61011267
2024-12-31,금곡동,42471.0,168000471,서구,금곡동,167669.1236,126.6345798,457490.3468,37.61918532
2024-12-31,금곡동,42587.0,168000587,서구,금곡동,167852.118,126.6366586,457350.8927,37.61793532
2024-12-31,금곡종점,89319.0,168001319,서구,금곡동,169086.1172,126.6506659,456632.249,37.61150298
2024-12-31,금란마트,89061.0,168001061,서구,오류동,166654.5223,126.6232064,454889.6926,37.59571811
